Text,Language
Bwawa la samaki lilianzishwa na kijiji kwa faida yao.,Swahili
Mganga wa jadi alitoa dawa za asili kwa mgonjwa.,Swahili
Watu wa wilaya walikutanika kujadili mipaka yao.,Swahili
Mtoto mdogo alipotea soko na kupatikana baadaye.,Swahili
Mvua ilinyesha usiku wote bila kupumzika kidogo.,Swahili
Yeye anafanya kazi mbili kujipatia kipato zaidi.,Swahili
Harusi ya ndugu yake ilikuwa karamu nzuri sana.,Swahili
Mchezaji mpya alionekana kuwa na talanta kubwa.,Swahili
Mazungumzo ya biashara yalifanikiwa sana asubuhi.,Swahili
Msaada wa kimataifa ulifika kwa watu walioathirika.,Swahili
Yeye alisherehekea kuzaliwa kwake na familia yake.,Swahili
Mwalimu mkuu alitoa tuzo kwa wanafunzi bora.,Swahili
Mzigo wa maisha unamlemea lakini hasalimu amri.,Swahili
Baba alimfundisha mtoto wake heshima na adabu.,Swahili
Kijiji kizima kilishiriki katika sherehe ya mavuno.,Swahili
Yeye alitunza mzee wake hadi mwisho wa maisha.,Swahili
Kondoo walipigwa mbuzi wa hewa usiku wa Jana.,Swahili
Chakula cha jadi cha bibi kilikuwa kitamu sana.,Swahili
Yeye alitunza bustani yake kwa upole na uvumilivu.,Swahili
Mwanasiasa alitembelea kijiji kabla ya uchaguzi mkubwa.,Swahili
Mahusiano mazuri yanajengwa kwa amini na uvumilivu.,Swahili
Ziwa la mto ulikuwa na rangi ya samawati leo.,Swahili
Nyumba ya muda mrefu ilipigwa na umeme usiku.,Swahili
Yeye anahamasisha vijana wake kila siku bila kuchoka.,Swahili
Msitu wa mianzi ulikatwa bila ruhusa ya serikali.,Swahili
Familia yake ilihamia mjini kutafuta maisha bora zaidi.,Swahili
Maze msee tuenda kuona game ya kesho crowd itakuwa mob.,Sheng
Buda nimegonga deal nzuri leo floor ya tatu.,Sheng
Hiyo look yake leo ilikuwa poa kabisa freshi.,Sheng
Wasee wa class wetu ni squad ya nguvu sana.,Sheng
Maze nimeskia ngo mpya ya msanii huyo inabamba.,Sheng
Buda unaenda wapi haraka hivyo leo asubuhi?,Sheng
Hiyo chakula ya mama yako inabamba mob freshi.,Sheng
Maze nimechoka sana leo nilikuwa nikirun errands.,Sheng
Wasee tushike hapo baadaye leo jioni sawa sawa.,Sheng
Buda umeshinda bet yako leo lazima unilipie.,Sheng
Maze hiyo story ya mtaani inafurahisha sana buda.,Sheng
Nimefika tu naomba uniambie njia haraka msee.,Sheng
Hiyo dame alimwambia msee ukweli usiku jana.,Sheng
Buda sina data niambie uniskumizie kidogo.,Sheng
Maze nikiwa mtaani naskia story mob sana.,Sheng
Hiyo job inamlipa msee mob ana maisha sawa.,Sheng
Wasee wa block wanajua kila kitu kinachoendelea.,Sheng
Maze nilikuwa nikitryboo kutafuta basi lakini hakuna.,Sheng
Buda wewe unaonekana umekaa fiti sana leo.,Sheng
Hiyo saa yake ni ya kuvutia mob kabisa.,Sheng
Maze watu wa naija wanarun biashara hapa mob.,Sheng
Buda umeskia habari ya msee wa corner?,Sheng
Hiyo movie ya jana ilikuwa fire sana fam.,Sheng
Wasee tuongee story hii vizuri kabla ya kwenda.,Sheng
Maze nimepata offer nzuri nashangaa kama ni real.,Sheng
Buda nisaidie kupackage hizi vitu haraka kidogo.,Sheng
Hiyo set up yake nyumbani imekaa poa kabisa.,Sheng
Maze msee wa pesa si rahisi kumwona hapa.,Sheng
Wasee wa mtaa wanaona mambo yetu vibaya tu.,Sheng
Buda hiyo beat inabamba msee lazima uiskumizie.,Sheng
Maze nimefika kwa queue ndefu sana town leo.,Sheng
Hiyo hadithi ulisema jana ilinigusa sana fam.,Sheng
Buda unaona kama tutafika saa ngapi town?,Sheng
Maze niko na kazi mob lakini pesa bado kidogo.,Sheng
Wasee wa cyber wanajua download ya mambo yote.,Sheng
Buda hiyo form yako iko wapi niionee kidogo.,Sheng
Maze nimekaa hapa saa mbili bado sijachoka.,Sheng
Hiyo mtu alinitumia makosa pesa kwa mpesa.,Sheng
Wasee walikuwa wakizungumza mob usiku wa jana.,Sheng
Buda nimeshinda mashindano leo lazima tushike pamoja.,Sheng
Maze nikiwa shule nilifanya kazi mob bila kulipwa.,Sheng
Hiyo bei imepanda sana market hii wiki.,Sheng
Buda umeona kama kuna mkutano kesho asubuhi?,Sheng
Maze nimeskia area yetu itapata barabara mpya.,Sheng
Wasee wa campus wanaenda trip Mombasa wiki ijayo.,Sheng
Buda hiyo laptop yako inafanya kazi au imekufa?,Sheng
Maze niliomba msee anikopeshe lakini alinikatalia.,Sheng
Hiyo game ya weekend ilikuwa na nguvu sana.,Sheng
Buda nilikuwa nakutext lakini simu yako haikuwa reachable.,Sheng
Maze wasee wa job wanaenda kuacha pamoja wakisema.,Sheng
Hiyo keja ya rafiki yangu imekaa fiti mob.,Sheng
Buda unanichekesha sana leo nimefurahi kabisa.,Sheng
Maze nilienda kuona kama kuna nafasi bado hapo.,Sheng
Wasee wa church walifanya program nzuri usiku jana.,Sheng
Buda hiyo line yake ilikuwa moto sana kabisa.,Sheng
Maze nimekaa ninasubiri reply yake kutoka asubuhi.,Sheng
Hiyo msee anaandika muziki wa nguvu sana fam.,Sheng
Buda tushike hapo rooftop usiku wa leo sawa.,Sheng
Maze hapa ni kwa vibes tu tusiendelee na shida.,Sheng
Wasee nyote mnajua story ya hiyo keja mpya.,Sheng
Buda nimechoka na kelele za mtaani kila usiku.,Sheng
Maze hiyo girl alikuwa na look ya moto kabisa.,Sheng
Buda umekuwa ukifanya nini tangu tulipoachana?,Sheng
Maze area ina msee mpya ambaye ana hustle mob.,Sheng
Hiyo presentation yangu ilikuwa fire mbele ya watu.,Sheng
Buda nilikuwa nafanya kazi online mpaka alfajiri leo.,Sheng
Maze nimeskia wanaongeza fair ya matatu tena.,Sheng
Wasee wa squad wanaulizana juu ya party ya Jumamosi.,Sheng
Buda hiyo nguruwe uliula wapi saa hii asubuhi?,Sheng
Maze niko tayari lakini sijui kama watu wako ready.,Sheng
Hiyo msee ana maneno ya nguvu sana akiongea.,Sheng
Buda tukienda town nisaidie kubeba mfuko huu.,Sheng
Maze nimefurahi sana kumwona rafiki yangu wa zamani.,Sheng
Wasee wa gym wanafanya kazi ngumu kila asubuhi.,Sheng
Buda nimesikia kampuni mpya inafungua ofisi hapa.,Sheng
Maze hiyo ngo inabamba sana nimesikia mob mara.,Sheng
Hiyo msee alisema maneno ya moto ukumbusho.,Sheng
Buda unaona kama tutaweza kukamilisha hii leo?,Sheng
Maze nimepata lock ya nyumba mpya freshi kabisa.,Sheng
Wasee wa mtaa waliadhimisha siku ya Kenya kwa nguvu.,Sheng
Buda nimepoteza phone yangu tena mara ya tatu.,Sheng
Maze hiyo deal ilikuwa ya moto kabisa fam.,Sheng
Hiyo event yao ilikuwa na crowd ya nguvu mob.,Sheng
Buda sema ukweli ulikuwa wapi wiki nzima?,Sheng
Maze sasa ninajua jinsi ya kurun biashara yangu.,Sheng
Wasee wa area wanajishughulisha vizuri sana hapa.,Sheng
Buda hiyo chakula kina ladha ya moto sana.,Sheng
Maze nimefunzwa vizuri na mtu wa kweli kabisa.,Sheng
Hiyo mtu ana brain ya nguvu anaweza anything.,Sheng
Buda nitakuja kukuona baadaye leo usiende mbali.,Sheng
Maze nimepiga simu mob lakini hakuna response.,Sheng
Wasee nyote mnajua hatua inayofuata sasa.,Sheng
Buda hiyo project yetu inakwenda vizuri sana mpaka.,Sheng
Maze niliulizwa swali gumu lakini nilijibu poa.,Sheng
Hiyo msee ana flow ya nguvu sana mtaani.,Sheng
Buda kesho tufanye meeting mapema kabla ya kazi.,Sheng
Maze nimechoka sana leo nilikuwa running mob.,Sheng
Wasee tushike baadaye ya leo usiku kwa real.,Sheng
Buda hiyo maneno yako ya jana yaliniumiza sana.,Sheng
Maze nimefanya kazi nzuri leo lazima nistahili kulala.,Sheng
Wuora osepuonjora somo mag ndho e oganda.,Luo
Nyathi matindo ohero mor e piny odhiambo.,Luo
Yien mayan osedhi oko mondo olog pi.,Luo
Joluo nigi hera maduong ni dala gi dhoot.,Luo
Piny ohero koth ma biro e ndalo mag cham.,Luo
Jothieth mag oganda biro mondo okonyi jotuo.,Luo
Nyasaye miyo chuny maber ni ng'at ma ohero yore.,Luo
Wuod ma ber en ma tiyo tich gi chuny duto.,Luo
Gima itiyo kawuono biro miyi gima ber dwe mabiro.,Luo
Joode duto nobiro karuok e odiechieng mer.,Luo
Ng'ama ong'eyo somo nigi teko mar loko piny.,Luo
Joluo ohero wer e wi tich maber.,Luo
Yaye ne mor gi nyithindo e dala mar go.,Luo
Osiep maber nigi dhi kodi seche duto.,Luo
Wach adier en ma miyo chuny bedo maler.,Luo
Puodho maber en ma ng'at tiyo e kin koth.,Luo
Nyako ma ong'eyo tich biro yudo ohala maduong.,Luo
Gima ipar kawuono en gima biro kony dwe machielo.,Luo
Jogo ma ohero tich nigi ngima maber e piny.,Luo
Wuora ne wach ni koth biro usiku wa hii.,Luo
Nyithindo mag dala ohero chayo e namlolwe.,Luo
Ng'at maber en ma omio kode ng'ato duto.,Luo
Chiemo maber miyo teko ni ng'at tiyo tich.,Luo
Gik moko duto biro bedo maber gik mapod.,Luo
Joka dala biro karuok mondo wasik wawer.,Luo
Osiep maber ni ng'at en gima ber moloyo.,Luo
Yaye ne wuoyo gi chuora e ot mar lamo.,Luo
Wuod ma ohero somo biro bedo janywol maber.,Luo
Tiyo gi chuny en gima miyo tich bedo maber.,Luo
Joluo nigi hera maduong ni oganda mar go.,Luo
Nyasaye telo ni ng'at duto ma ohero yore.,Luo
Gima itiyo mondo imiyo ng'ato en gima ber.,Luo
Jothieth mag dala biro konyi seche mar rem.,Luo
Wach maler en ma omiyo oganda bedo moyomber.,Luo
Ng'ama ohero osiep biro yudo ng'ato maber.,Luo
Puodho maber tiyo gi koth mar odiechieng.,Luo
Wuora ne wuoyo ni biro karuok e ot.,Luo
Nyathi ma ber en ma onego opuonjore somo.,Luo
Gima imiyo ng'ato en gima biro duogo kodi.,Luo
Joluo nigi hera ni oganda mar go duto.,Luo
Tiyo tich matek en gima miyo bedo ng'at maber.,Luo
Nyasaye omiyo chuny maber ni ng'at ohero.,Luo
Wuod nam en ng'at ma ong'eyo pi maber.,Luo
Gima ipar kawuono biro miyi teko dwe mabiro.,Luo
Joka dala nigi hera maduong ni dala mar go.,Luo
Osiep maber en ma nitie ka irembo duto.,Luo
Yaye ne wer wer e ot kar lamo usiku.,Luo
Nyithindo mag oganda ohero mor e ndalo duto.,Luo
Ng'at ma ong'eyo tich biro yudo gima ohero.,Luo
Wach adier en ma miyo chuny bedo maler duto.,Luo
Puodho maber en gima ng'at tiyo e ndalo duto.,Luo
Wuora ne paro ni wadhi dala e dwe mabiro.,Luo
Nyasaye telo e yo duto ma wadhi iye saa duto.,Luo
Gima itiyo kawuono biro kony ngima mar dwe mabiro.,Luo
Jothieth biro mondo okonyi jotuo mag oganda duto.,Luo
Wuod ma ber en ma ohero osiep maber.,Luo
Joluo nigi siko mabeyo moloyo e piny duto.,Luo
Tiyo tich gi chuny duto en gima miyo bedo.,Luo
Nyathi ma ohero somo biro yudo ngima maber.,Luo
Gima ipar kawuono en gima biro kony ng'at maber.,Luo
Joka dala biro karuok e dwe ma biro geno.,Luo
Osiep maber nigi dhi kodi e seche duto.,Luo
Yaye ne wuoyo gi nyithindo e ot mar lamo.,Luo
Wuora osepuonjora somo mag ndho mabeyo.,Luo
Ng'ama ong'eyo somo nigi teko mar loko piny maber.,Luo
Gima ber en ma omiyo oganda bedo moyomber.,Luo
Puodho maber en ma ng'at tiyo e ndalo duto.,Luo
Nyasaye miyo chuny maber ni ng'at ma ohero.,Luo
Wuod ma ong'eyo tich biro yudo gima ohero.,Luo
Joluo ohero wer e wi tich maber e seche.,Luo
Jothieth mag oganda biro mondo okonyi jotuo duto.,Luo
Gima imiyo ng'ato en gima biro duogo kodi duto.,Luo
Tiyo gi chuny duto en gima miyo tich bedo.,Luo
Wach maler en ma omiyo oganda bedo moyomber.,Luo
Nyathi matindo ohero mor e piny odhiambo duto.,Luo
Yien mayan osedhi oko mondo olog pi maber.,Luo
Osiep maber nigi dhi kodi seche duto ng'ato.,Luo
Wuor osepuonjora somo mag ndho e oganda duto.,Luo
Gima itiyo kawuono biro miyi gima ber dwe.,Luo
Joluo nigi hera maduong ni dala gi dhoot duto.,Luo
Jogo ma ohero tich nigi ngima maber e piny.,Luo
Nyasaye telo ni ng'at duto ma ohero yore.,Luo
Wuod ma ber en ma tiyo tich gi chuny.,Luo
Nyathi ma ong'eyo tich biro yudo ohala maduong.,Luo
Puodho maber tiyo gi koth mar odiechieng duto.,Luo
Gima ber en ma miyo chuny bedo maler duto.,Luo
Joka dala nigi hera maduong ni dala mar go.,Luo
Osiep maber en ma omiyo ng'ato duto.,Luo
Wuora ne wuoyo ni biro karuok e ot duto.,Luo
Nyasaye omiyo chuny maber ni ng'at ohero duto.,Luo
Tiyo tich matek en gima miyo bedo ng'at maber.,Luo
Wach adier en ma miyo chuny bedo maler.,Luo
Ng'ama ohero osiep biro yudo ng'ato maber duto.,Luo
Gima ipar kawuono biro kony ngima mar dwe.,Luo
Joluo nigi siko mabeyo moloyo e piny.,Luo
Nyathi ma ber en ma onego opuonjore somo duto.,Luo
Wuod nam en ng'at ma ong'eyo pi maber duto.,Luo
Jothieth biro konyi seche mar rem e dala.,Luo
Nimeshinda competition leo na hii feeling ni amazing sana.,Mixed
Tafadhali unisaidie ku-book appointment kwa clinic ya hapa.,Mixed
Tulitembelea campus mpya na facilities zake ni world class.,Mixed
Nilikuwa nikijaribu ku-access portal lakini ilibug sana.,Mixed
Hebu tukubaliane on a date ya kukutana vizuri.,Mixed
Nimepata callback baada ya interview yangu ya wiki iliyopita.,Mixed
Hiyo software update ilifanya phone yako iwe faster.,Mixed
Tulikuwa tukidiscuss strategy mpaka usiku wa manane.,Mixed
Ninajua jinsi ya ku-handle hii situation vizuri kabisa.,Mixed
Nimefanya research mob na nimeona results nzuri sana.,Mixed
Tafadhali ni-tag kwa hiyo post yako ya leo.,Mixed
Nilikuwa nikistream match ya jana lakini internet ilikata.,Mixed
Tumefika destination yetu salama baada ya safari ndefu.,Mixed
Nimesign up kwa course mpya ya online bila malipo.,Mixed
Hiyo event itakuwa lit sana weekend ijayo kwa real.,Mixed
Tunaomba ushirikiano kwa project hii kubwa.,Mixed
Nimekuwa nikijaribu ku-balance kazi na masomo yangu.,Mixed
Tafadhali niambie deadline ya hii assignment haraka.,Mixed
Nilikuwa nikifanya research ya cybersecurity usiku wote.,Mixed
Tumeweka target ya kukamilisha module hii wiki hii.,Mixed
Nimecheza game mpya ambayo ni addictive sana buda.,Mixed
Tafadhali update contacts yako kwa namba yangu mpya.,Mixed
Hiyo hackathon wiki iliyopita ilikuwa experience ya nguvu.,Mixed
Nimeweza ku-solve problem ile iliyonisumbua kwa muda.,Mixed
Tutakuwa tunaendelea na training yetu Jumanne asubuhi.,Mixed
Nimepata message kutoka kwa recruiter asubuhi leo.,Mixed
Tafadhali confirm kama meeting ya kesho bado iko schedule.,Mixed
Nilikuwa nikiattend webinar ya cybersecurity jana usiku.,Mixed
Tumeweza kukamilisha project yetu kabla ya deadline.,Mixed
Nimejaribu ku-install package lakini inakataa kufanya kazi.,Mixed
Hiyo seminar ya AI ilikuwa ya kuvutia sana sana.,Mixed
Tafadhali niambie kama una slot free kesho asubuhi.,Mixed
Nimepata scholarship ya kustudy abroad naomba nifanikiwe.,Mixed
Tutakuwa tukifanya code review ya project yetu pamoja.,Mixed
Nimeweza ku-fix bug ile iliyokuwa inanisumbua wiki.,Mixed
Tafadhali nipigie simu ukifika airport nikusaidie mzigo.,Mixed
Hiyo presentation yangu ilikuwa successful sana kwa panel.,Mixed
Nimefanya backup ya data yangu yote kwa cloud.,Mixed
Tutaendelea na mazungumzo yetu baada ya lunch leo.,Mixed
Nimepata notification kwamba package yangu imefika town.,Mixed
Tafadhali share link ya article ile uliyotuma jana.,Mixed
Nilikuwa nikiwork remotely kutoka nyumbani wiki hii.,Mixed
Tumeweza kupitisha budget ya project baada ya meeting.,Mixed
Nimecheki account yangu na iko sawa sawa sasa.,Mixed
Tutashiriki kwenye competition ya robotics mwezi ujao.,Mixed
Nimejua jinsi ya ku-automate kazi zangu za kila siku.,Mixed
Tafadhali nisaidie ku-review code yangu kabla ya submission.,Mixed
Hiyo AI tool mpya inaweza ku-generate content haraka.,Mixed
Nilikuwa nikitest security ya app yetu jana usiku.,Mixed
Tumeweza kukamilisha module ya web security leo pamoja.,Mixed
Nimepata review nzuri kwa kazi yangu ya freelance.,Mixed
Tafadhali check email yako kuna message ya muhimu.,Mixed
Hiyo feature mpya ya app yetu imependwa na users.,Mixed
Nilikuwa nikistudy Burp Suite techniques usiku jana.,Mixed
Tumeweka plan ya kuongeza network security ya lab.,Mixed
Nimejaribu ku-configure VM mpya kwa home lab yangu.,Mixed
Tafadhali nisaidie ku-troubleshoot error hii kwa Kali.,Mixed
Hiyo CTF challenge ya jana ilikuwa ngumu sana fam.,Mixed
Nilikuwa nikirun scans za network kwa VirtualBox yangu.,Mixed
Tumeweza ku-deploy Wazuh successfully kwa server yetu.,Mixed
Nimepata alert kutoka Splunk inayoonyesha suspicious traffic.,Mixed
Tafadhali share notes zako za lecture ya cybersecurity.,Mixed
Hiyo tool ya penetration testing inafanya kazi vizuri.,Mixed
Nilikuwa nikilearn kuhusu SQL injection attack jana.,Mixed
Tumeweza ku-patch vulnerability ile iliyopatikana mapema.,Mixed
Nimejaribu ku-bypass WAF kwa methods tofauti tofauti.,Mixed
Tafadhali niambie kama Metasploitable iko up kwa lab.,Mixed
Hiyo machine ya PortSwigger ilikuwa ya kuvutia sana.,Mixed
Nilikuwa nikifanya path traversal labs jana usiku wote.,Mixed
Tumeweza ku-enumerate users kwa netcat tool vizuri.,Mixed
Nimecheki logs za Wazuh na kuna events nyingi.,Mixed
Tafadhali help me ku-understand hii WebSocket vulnerability.,Mixed
Hiyo conference ya tech ilikuwa na content nzuri mob.,Mixed
Nilikuwa nikiattend Safaricom Summit na ilikuwa fire kabisa.,Mixed
Tumeweza kulearn mambo mapya kuhusu cybersecurity trends.,Mixed
Nimepata assignment mpya ya kuanalyze malware sample.,Mixed
Tafadhali niambie jinsi ya ku-set up VPN yangu.,Mixed
Hiyo lab ya cybersecurity inakua vizuri sana sasa.,Mixed
Nilikuwa nikiread kuhusu privilege escalation techniques.,Mixed
Tumeweza kukamilisha module ya authentication bypass vizuri.,Mixed
Nimeweza ku-crack password hash kwa Hashcat haraka.,Mixed
Tafadhali share resources za kujifunza OSCP preparation.,Mixed
Hiyo CTF team yetu imeshinda competition ya wiki hii.,Mixed
Nilikuwa nikiinstall Splunk kwa VM yangu mpya.,Mixed
Tumeweka rules mpya za firewall kwa network yetu.,Mixed
Nimejaribu ku-exploit vulnerability ya default credentials.,Mixed
Tafadhali niambie status ya Windows 11 VM yetu.,Mixed
Hiyo storage issue ya laptop yangu bado inanisumbua.,Mixed
Nilikuwa nikifanya enumeration ya ports kwa target.,Mixed
Tumeweza ku-map network topology ya lab vizuri.,Mixed
Nimepata help ya kufanya dual boot ya Fedora.,Mixed
Tafadhali nisaidie ku-configure GRUB ya system yangu.,Mixed
Hiyo Kali Linux update ilifanya mambo mengi kubadilika.,Mixed
Nilikuwa nikicustomize terminal yangu na Oh My Zsh.,Mixed
Tumeweza ku-install NerdFont kwa system yetu vizuri.,Mixed
Nimeweza kutengeneza script ya ku-automate kazi zangu.,Mixed
Tafadhali niambie jinsi ya ku-resize partition yangu.,Mixed
Hiyo GNOME setup yangu inaonekana fiti sana sasa.,Mixed
Nilikuwa nikifanya ricing ya Fedora usiku wote leo.,Mixed
Tumeweza ku-set up home lab yetu vizuri kabisa.,Mixed
Omera mondo kel maber gima ibiro gi go.,Luo
Nyasaye omiyo chuny maber ni dala mar go.,Luo
Mazungumzo mazuri yanasaidia kutatua migogoro mingi.,Swahili
